Station,Code,Date,Time,Campaign,Responsible,Institution,River,Basin,Latitude,Longitude,Latitude Decimal,Longitude Decimal,Average Velocity (m/s),Flow (m3/s),Resistivity (Ohm.cm),Partial Pressure (mm Hg),pH,pH (mV),Specific Conductivity (T ref. 25°C) (uS/cm),Salinity (Sal),Temperature (°C),Dissolved Oxygen (mg/l O2),Oxygen Saturation (%),Turbidity (NTU),Total Solids (mg/l),Total Dissolved Solids (mg/l),Total Suspended Solids (mg/l),Color (u PtCo),Total Hardness (mg/l CaCO3),Phenolphthalein Alkalinity (mg/l CaCO3),Total Alkalinity (mg/l CaCO3),Chlorides (mg/l Cl-),Sulfates (mg/l SO4),Dissolved Calcium (mg/l Ca),Dissolved Magnesium (mg/l Mg),Dissolved Sodium (mg/l Na),Dissolved Potassium (mg/l K),Total Calcium (mg/l Ca),Total Magnesium (mg/l Mg),Total Sodium (mg/l Na),Total Potassium (mg/l K),Total Phosphorus (mg/l PO4),Dissolved Phosphorus (mg/l PO4),Ammoniacal Nitrogen (mg/l NH4),Nitrite (mg/l NO2),Nitrate (mg/l NO3),Total Kjeldahl Nitrogen (mg/l N),Biochemical Oxygen Demand (mg/l O2),Chemical Oxygen Demand (mg/l O2),Dissolved Organic Carbon (mg/l),Total Coliforms (CFU) (CFU/100 ml),Fecal Coliforms (CFU) (CFU/100 ml),Total Coliforms (MPN) (MPN/100 ml),Fecal Coliforms (MPN) (MPN/100 ml),Total Mesophilic Aerobes (CFU) (CFU/100 ml),Dissolved Bismuth (ug/l Bi),Total Bismuth (ug/l Bi),Dissolved Thallium (ug/l Tl),Total Thallium (ug/l Tl),Dissolved Chromium (ug/l Cr),Dissolved Manganese (ug/l Mn),Dissolved Nickel (ug/l Ni),Dissolved Copper (ug/l Cu),Dissolved Zinc (ug/l Zn),Dissolved Arsenic (ug/l As),Dissolved Cadmium (ug/l Cd),Dissolved Lead (ug/l Pb),Dissolved Silver (ug/l Ag),Dissolved Mercury (ug/l Hg),Dissolved Iron (ug/l Fe),Dissolved Boron (ug/l B),Dissolved Selenium (ug/l Se),Total Chromium (ug/l Cr),Total Manganese (ug/l Mn),Total Nickel (ug/l Ni),Total Copper (ug/l Cu),Total Zinc (ug/l Zn),Total Arsenic (ug/l As),Total Cadmium (ug/l Cd),Total Lead (ug/l Pb),Total Silver (ug/l Ag),Total Mercury (ug/l Hg),Total Iron (ug/l Fe),Total Boron (ug/l B),Total Selenium (ug/l Se),Cyanides (mg/l CN-),Free Cyanides (mg/l CN-),Sulfides (mg/l S),Phenols (mg/l C6H6O),Total Hydrocarbons (mg/l),Suspended Thallium (mg/kg Tl),Suspended Selenium (mg/kg Se),Suspended Zinc (mg/kg Zn),Suspended Lead (mg/kg Pb),Suspended Arsenic (mg/kg As),Suspended Bismuth (mg/kg Bi),Suspended Boron (mg/kg B),Suspended Cadmium (mg/kg Cd),Suspended Copper (mg/kg Cu),Suspended Chromium (mg/kg Cr),Suspended Iron (mg/kg Fe),Suspended Manganese (mg/kg Mn),Suspended Nickel (mg/kg Ni),Suspended Silver (mg/kg Ag),Year,Total Mesophilic Aerobes (MPN) (MPN/100 ml),Suspended Mercury (mg/kg Hg),Fluorides (mg/l F),pH in laboratory,Settleable Solids (ml/l),Total Coliforms (CFU/100 ml),Fecal Coliforms (CFU/100 ml),Total Mesophilic Aerobes (CFU/100 ml),Total Organic Carbon (mg/l),Total Mesophilic Aerobes (MPN/100 ml),Total Coliforms (MPN/100 ml),Fecal Coliforms (MPN/100 ml),Location,Month,Month_Name,Season,DO_Status
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,BPT-118,2016-08-02,11:50,August 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,,"19° 7' 56.04""","65° 34' 18.78""",-19.1322,-65.5719,0.772,4.0,,,8.257,-87.6,1061.0,0.5,12.4,8.33,108.7,123.0,808.0,684.0,14.0,26.0,167.0,5.0,130.0,178.1,113.4,32.09,21.1,153.5,12.0,33.24,21.39,155.3,13.0,0.31,0.25,0.27,0.43,11.33,2.9,10.0,16.0,10.0,5.0,0.0,,,12.0,0.1,1.5,0.1,0.5,0.4,188.0,3.0,5.0,117.0,15.0,0.5,0.1,0.05,,182.0,696.0,1.0,3.0,528.0,12.5,45.0,1066.0,61.0,4.0,46.0,0.5,,6994.0,1394.0,12.5,,0.001,0.0005,0.0005,0.019,,,67785.71,2428.57,3285.71,,49857.14,250.0,2857.14,185.71,486571.43,24285.71,,,2016,,,,,,,,,,,,,Potosi,8,August,Winter (Dry),Oxic
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,BTC-116,2016-08-02,11:05,August 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tacobamba,,"19° 8' 10.02""","65° 34' 4.26""",-19.1361,-65.5678,0.871,0.0,,,8.414,-98.5,681.0,0.3,18.8,6.78,101.6,69.0,563.0,488.0,75.0,2.0,187.5,15.0,200.0,7.3,158.0,34.39,24.68,20.8,4.4,35.53,24.68,20.9,4.4,0.21,0.12,0.23,0.01,0.005,2.9,11.0,13.0,9.0,30.0,0.0,,,30.0,0.1,1.5,0.05,0.5,0.7,259.0,4.0,0.4,4.0,0.2,0.3,0.1,0.05,,185.0,149.0,1.0,3.1,406.0,12.5,45.0,163.0,2.0,2.0,4.0,0.5,,5573.0,139.0,12.5,,0.001,0.0005,0.0005,0.019,,,2120.0,,24.0,,,22.67,594.67,32.0,71840.0,1960.0,,,2016,,,,,,,,,,,,,Potosi,8,August,Winter (Dry),Oxic
Potosí - Naciente río La Ribera,BNR-010,2016-08-01,17:00,August 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,De la Ribera,Unidad 1,"19° 36' 7.30""","65° 44' 4.50""",-19.602,-65.7346,,,,,6.93,-12.9,204.0,0.0,5.0,4.28,55.6,0.52,60.0,60.0,0.5,1.0,44.6,2.5,65.0,4.4,28.0,13.31,2.75,8.7,3.0,13.87,2.78,8.8,3.2,0.21,0.15,0.03,0.01,0.005,4.3,2.5,1.0,1.0,3.0,1.0,,,1.0,0.1,1.5,0.05,0.5,0.1,7.0,1.0,1.0,51.0,9.0,0.7,0.1,0.05,,65.0,158.0,1.0,1.5,11.0,12.5,12.5,60.0,9.0,0.5,1.5,0.5,,154.0,150.0,12.5,,0.001,0.0005,0.0005,,,,9000.0,,0.0,,,,,,89000.0,4000.0,,,2016,,,,,,,,,,,,,Potosi,8,August,Winter (Dry),Oxic
Colavi - Canutillos,BC7-113,2016-08-01,13:50,August 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Colavi,Unidad 1,"19° 19' 17.7""","65° 33' 9.54""",-19.3216,-65.5527,0.578,0.0,,,7.271,-32.5,207.0,0.0,14.1,6.66,100.3,19.6,143.0,118.0,25.0,9.0,49.3,2.5,20.0,4.5,65.0,9.0,6.51,1.7,1.9,9.0,6.66,1.7,1.9,0.06,0.06,0.03,0.01,2.03,4.3,2.5,7.0,8.0,0.0,0.0,,,4.0,0.1,1.5,0.05,0.5,1.0,1737.0,8.0,2.0,218.0,0.2,2.0,3.0,0.05,,61.0,47.0,1.0,1.5,1869.0,12.5,150.0,506.0,2.0,2.5,3.0,0.5,,5452.0,47.0,12.5,,0.001,0.0005,0.0005,0.019,,,11520.0,44.0,72.0,,0.0,20.0,5920.0,,215640.0,5280.0,,,2016,,,,,,,,,,,,,Potosi,8,August,Winter (Dry),Oxic
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,BTC-116,2016-04-20,12:15,April 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tacobamba,,"19° 7' 58.2""","65° 34' 19.74""",-19.1328,-65.5722,1.0,0.0,1409.0,146.9,8.56,-96.2,709.0,0.3,22.3,6.18,100.1,,2266.0,538.0,1729.0,,346.0,,190.0,4.5,179.2,56.11,50.0,17.6,7.4,56.11,51.53,17.7,8.8,,,,,,,2.5,1.0,,,,,,,0.1,1.5,0.05,0.5,5.0,9.0,2.0,1.0,2.0,0.3,0.05,2.0,0.05,,144.0,12.0,1.0,61.0,1195.0,46.0,43.0,137.0,18.0,0.5,36.0,0.5,,56480.0,84.0,12.5,,,0.0005,,,,,78.08,16.54,10.24,,41.64,,24.87,32.39,32583.0,685.95,25.45,,2016,,,,,,,,,,,,,Potosi,4,April,Autumn (Transition),Oxic
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,BPT-118,2016-04-20,11:20,April 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,,"19° 7' 55.64""","65° 34' 17.70""",-19.1321,-65.5716,1.306,11.0,790.0,142.5,8.137,-70.6,1266.0,0.6,16.6,6.65,95.8,,9767.0,844.0,8923.0,,333.1,,160.0,184.0,174.8,96.19,22.56,117.9,11.1,97.79,23.39,123.6,12.7,,,,,,,10.0,42.0,,,,,,,0.1,59.0,0.2,12.0,4.0,357.0,3.0,2.0,66.0,15.0,0.05,2.0,0.05,,197.0,77.0,1.0,251.0,5222.0,192.0,1088.0,13193.0,1988.0,118.0,1900.0,84.0,,262542.0,700.0,12.5,,,0.0005,,,1.32,,1471.14,211.69,221.11,6.61,69.82,13.22,121.71,27.68,29400.99,545.22,21.18,9.41,2016,,,,,,,,,,,,,Potosi,4,April,Autumn (Transition),Oxic
Tarapaya,BTA-050,2016-04-19,16:15,April 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tarapaya,Unidad 1,19 28 19.74,65 47 39.96,-19.4722,-65.7944,,,801.0,71.3,6.875,-1.6,1249.0,0.6,15.9,3.36,51.3,1650.0,10750.0,725.0,10410.0,,538.0,12.7,64.8,66.9,524.0,171.0,13.1,26.5,59.9,912.0,270.0,286.0,172.0,,,,,,,41.1,1438.0,,,,,,,0.1,46.0,0.1,18.0,2.0,2734.0,20.0,3.0,4962.0,34.0,5.0,2.0,0.05,,2911.0,29.0,1.0,379.0,8842.0,367.0,2841.0,44561.0,2805.0,330.0,2868.0,83.0,,406334.0,499.0,12.5,0.01,,0.5,,,1.72,,3803.94,269.75,266.19,4.42,45.15,31.22,272.62,36.22,38753.41,586.74,33.33,7.97,2016,,,,,,,,,,,,,Potosi,4,April,Autumn (Transition),Hypoxic
Colavi - Canutillos,BC7-113,2016-04-19,12:35,April 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Colavi,Unidad 1,19 19 17.16,65 33 9.42,-19.3214,-65.5526,0.47,0.0,2.93,134.7,6.821,-1.6,341.0,0.1,15.1,6.48,99.8,126.7,375.0,198.0,105.0,,154.0,1.095,5.62,3.41,155.0,26.8,20.8,2.83,1.94,30.2,21.7,3.35,5.52,,,,,,,6.5,18.0,,,,,,,0.1,1.5,0.05,0.5,0.9,3765.0,25.0,35.0,1004.0,0.1,5.0,2.0,0.05,,425.0,5.0,1.0,13.0,4492.0,32.0,257.0,943.0,3.0,5.0,10.0,0.5,,8207.0,51.0,12.5,0.01,,0.5,,,,,,76.76,28.57,,438.1,0.0,2114.29,115.24,74114.29,6923.81,66.67,,2016,,,,,,,,,,,,,Potosi,4,April,Autumn (Transition),Oxic
Colavi - Canutillos,BC7-113,2017-12-14,12:30,December 2017,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Colavi,Unidad 1,"19° 19' 16.8""","65° 33' 6.54""",-19.3213,-65.5518,0.403,0.0,3210.0,134.3,6.228,34.4,312.0,0.1,18.6,6.03,100.1,15.9,237.0,220.0,17.0,,112.5,2.5,2.5,3.4,184.5,31.02,8.52,1.7,1.5,31.82,8.54,1.7,1.5,,,,,,,2.5,4.0,,,,,,,0.1,2.0,0.1,1.0,0.1,2207.0,24.0,21.0,2868.0,24.0,4.0,0.1,0.1,0.02,500.0,455.0,1.0,29.0,3337.0,42.0,792.0,11491.0,393.0,36.0,91.0,14.0,0.05,53196.0,521.0,10.0,,,0.003,,,,,507235.29,5264.71,21705.88,117.65,3882.35,1882.35,45352.94,1705.88,3099764.71,66470.59,1058.82,823.53,2017,,,,,,,,,,,,,Potosi,12,December,Summer (Wet),Oxic
Tarapaya,BTA-050,2017-12-14,8:15,December 2017,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tarapaya,Unidad 1,"19° 28' 18.6""","65° 47' 39.18""",-19.4718,-65.7942,0.397,0.0,553.0,127.0,7.513,-33.8,1807.0,0.9,12.4,6.52,90.6,448.0,1680.0,1368.0,312.0,,452.0,2.5,75.0,143.2,668.4,134.59,28.16,149.6,23.0,136.46,29.68,152.7,23.0,,,,,,,28.0,40.0,,,,,,,0.1,1.0,0.1,1.0,0.1,14.0,3.0,1.0,1.0,1.0,0.1,0.1,0.1,0.02,119.0,240.0,1.0,20.0,155.0,10.0,10.0,28.0,10.0,1.0,5.0,1.0,0.313,7909.0,241.0,10.0,,,0.004,,,,,89.74,,,,3.21,,,64.1,24967.95,451.92,,,2017,,0.99,,,,,,,,,,,Potosi,12,December,Summer (Wet),Oxic
