Station,Code,Date,Time,Campaign,Responsible,Institution,River,Basin,Latitude,Longitude,Latitude Decimal,Longitude Decimal,Average Velocity (m/s),Flow (m3/s),Resistivity (Ohm.cm),Partial Pressure (mm Hg),pH,pH (mV),Specific Conductivity (T ref. 25°C) (uS/cm),Salinity (Sal),Temperature (°C),Dissolved Oxygen (mg/l O2),Oxygen Saturation (%),Turbidity (NTU),Total Solids (mg/l),Total Dissolved Solids (mg/l),Total Suspended Solids (mg/l),Color (u PtCo),Total Hardness (mg/l CaCO3),Phenolphthalein Alkalinity (mg/l CaCO3),Total Alkalinity (mg/l CaCO3),Chlorides (mg/l Cl-),Sulfates (mg/l SO4),Dissolved Calcium (mg/l Ca),Dissolved Magnesium (mg/l Mg),Dissolved Sodium (mg/l Na),Dissolved Potassium (mg/l K),Total Calcium (mg/l Ca),Total Magnesium (mg/l Mg),Total Sodium (mg/l Na),Total Potassium (mg/l K),Total Phosphorus (mg/l PO4),Dissolved Phosphorus (mg/l PO4),Ammoniacal Nitrogen (mg/l NH4),Nitrite (mg/l NO2),Nitrate (mg/l NO3),Total Kjeldahl Nitrogen (mg/l N),Biochemical Oxygen Demand (mg/l O2),Chemical Oxygen Demand (mg/l O2),Dissolved Organic Carbon (mg/l),Total Coliforms (CFU) (CFU/100 ml),Fecal Coliforms (CFU) (CFU/100 ml),Total Coliforms (MPN) (MPN/100 ml),Fecal Coliforms (MPN) (MPN/100 ml),Total Mesophilic Aerobes (CFU) (CFU/100 ml),Dissolved Bismuth (ug/l Bi),Total Bismuth (ug/l Bi),Dissolved Thallium (ug/l Tl),Total Thallium (ug/l Tl),Dissolved Chromium (ug/l Cr),Dissolved Manganese (ug/l Mn),Dissolved Nickel (ug/l Ni),Dissolved Copper (ug/l Cu),Dissolved Zinc (ug/l Zn),Dissolved Arsenic (ug/l As),Dissolved Cadmium (ug/l Cd),Dissolved Lead (ug/l Pb),Dissolved Silver (ug/l Ag),Dissolved Mercury (ug/l Hg),Dissolved Iron (ug/l Fe),Dissolved Boron (ug/l B),Dissolved Selenium (ug/l Se),Total Chromium (ug/l Cr),Total Manganese (ug/l Mn),Total Nickel (ug/l Ni),Total Copper (ug/l Cu),Total Zinc (ug/l Zn),Total Arsenic (ug/l As),Total Cadmium (ug/l Cd),Total Lead (ug/l Pb),Total Silver (ug/l Ag),Total Mercury (ug/l Hg),Total Iron (ug/l Fe),Total Boron (ug/l B),Total Selenium (ug/l Se),Cyanides (mg/l CN-),Free Cyanides (mg/l CN-),Sulfides (mg/l S),Phenols (mg/l C6H6O),Total Hydrocarbons (mg/l),Suspended Thallium (mg/kg Tl),Suspended Selenium (mg/kg Se),Suspended Zinc (mg/kg Zn),Suspended Lead (mg/kg Pb),Suspended Arsenic (mg/kg As),Suspended Bismuth (mg/kg Bi),Suspended Boron (mg/kg B),Suspended Cadmium (mg/kg Cd),Suspended Copper (mg/kg Cu),Suspended Chromium (mg/kg Cr),Suspended Iron (mg/kg Fe),Suspended Manganese (mg/kg Mn),Suspended Nickel (mg/kg Ni),Suspended Silver (mg/kg Ag),Year,Total Mesophilic Aerobes (MPN) (MPN/100 ml),Suspended Mercury (mg/kg Hg),Fluorides (mg/l F),pH in laboratory,Settleable Solids (ml/l),Total Coliforms (CFU/100 ml),Fecal Coliforms (CFU/100 ml),Total Mesophilic Aerobes (CFU/100 ml),Total Organic Carbon (mg/l),Total Mesophilic Aerobes (MPN/100 ml),Total Coliforms (MPN/100 ml),Fecal Coliforms (MPN/100 ml),Location,Month,Month_Name,Season,DO_Status
Tumusla,BTU-080,2018-08-16,8:30,August 2018,UMyCD,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tumusla,Unidad 4,20 29 11.22,65 37 11.64,-20.4865,-65.6199,0.605,5.0,1527.0,155.9,8.545,-82.6,655.0,0.2,9.6,8.47,100.4,132.0,551.0,480.0,123.0,12.0,298.3,2.5,110.0,36.4,166.4,16.03,62.71,58.8,4.7,17.63,63.2,59.9,4.7,0.83,0.34,0.71,0.01,0.005,0.7,2.5,1.0,1.0,220.0,8.0,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.0005,0.0005,0.025,,,,,,,,,,,,,,,2018,,,,,,,,,,,,,Potosi,8,August,Winter (Dry),Oxic
Potosí - Naciente río La Ribera,BNR-010,2018-08-15,13:25,August 2018,UMyCD,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,De la Ribera,Unidad 1,19 35 51.42,65 43 52.44,-19.5976,-65.7312,0.046,0.0,5010.0,121.6,7.7,-36.3,199.2,0.0,11.3,6.35,96.9,4.87,117.0,114.0,3.0,23.0,86.0,2.5,75.0,6.2,15.4,21.64,7.77,9.3,1.7,21.64,9.23,9.3,2.7,0.18,0.09,0.08,0.01,0.005,0.7,2.5,1.0,1.0,90.0,0.0,,,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.002,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,,Potosi,8,August,Winter (Dry),Oxic
Tarapaya,BTA-050,2018-08-15,10:40,August 2018,UMyCD,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tarapaya,Unidad 1,19 28 18.66,65 47 39.6,-19.4718,-65.7943,0.71,1.0,1160.0,131.1,7.961,-50.4,861.0,0.3,7.7,7.43,92.6,98.9,622.0,544.0,78.0,16.0,214.2,2.5,115.0,66.7,177.4,37.67,29.17,81.9,12.5,38.47,29.17,83.7,12.5,0.52,0.49,21.24,52.22,0.005,4.2,26.0,45.0,263.0,120.0,10.0,,,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.001,0.0005,2.3,,,,,,,,,,,,,,,2018,,,,,,,,,,,,,Potosi,8,August,Winter (Dry),Oxic
San Antonio - Potosí,BSA-030,2018-08-15,8:40,August 2018,UMyCD,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Aljamayu,Unidad 1,19 34 41.28,65 48 12.06,-19.5781,-65.8034,0.325,0.0,804.0,129.6,7.143,-5.5,1243.0,0.5,4.7,7.92,93.7,424.0,1333.0,844.0,489.0,17.0,60.0,2.5,2.5,68.1,387.9,9.61,8.75,79.6,21.5,9.61,8.75,79.6,21.6,0.18,0.09,35.69,0.01,1.13,6.3,48.0,89.0,514.0,180.0,64.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.004,0.0005,3.6,,,,,,,,,,,,,,,2018,,,,,,,,,,,,,Potosi,8,August,Winter (Dry),Oxic
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,BTC-116,2018-08-14,11:55,August 2018,UMyCD,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tacobamba,,19 8 37.5,65 33 55.86,-19.1437,-65.5655,0.796,0.0,1410.0,149.9,8.609,-89.0,709.0,0.3,18.5,6.76,101.2,33.6,487.0,464.0,23.0,2.0,354.3,15.0,190.0,6.6,65.4,32.06,66.6,20.4,5.4,36.07,67.58,20.5,5.9,0.8,0.25,1.2,0.01,0.005,1.1,2.5,1.0,1.0,10.0,3.0,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.0005,0.0005,0.025,,,,,,,,,,,,,,,2018,,,,,,,,,,,,,Potosi,8,August,Winter (Dry),Oxic
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,BPT-118,2018-08-14,10:20,August 2018,UMyCD,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,,19 7 56.58,65 34 19.98,-19.1324,-65.5722,0.915,5.0,1030.0,156.7,8.465,-78.7,969.0,0.4,10.8,8.75,103.9,63.2,630.0,582.0,48.0,15.0,196.2,2.5,115.0,153.7,111.8,30.46,29.17,141.6,9.1,33.66,30.14,143.4,9.2,1.04,0.86,0.36,0.01,2.21,7.8,2.5,1.0,1.0,11.0,9.0,,,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.002,0.0005,0.13,,,,,,,,,,,,,,,2018,,,,,,,,,,,,,Potosi,8,August,Winter (Dry),Oxic
Colavi - Canutillos,BC7-113,2018-08-13,13:20,August 2018,UMyCD,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Colavi,Unidad 1,19 19 17.4,65 33 7.26,-19.3215,-65.552,0.535,0.0,3660.0,136.5,5.828,67.2,273.0,0.0,12.5,6.95,101.3,68.0,194.0,180.0,14.0,3.0,88.0,2.5,2.5,2.8,392.5,22.44,7.77,2.1,1.2,25.65,13.61,2.2,1.2,0.15,0.03,0.31,0.01,3.14,1.1,2.5,1.0,1.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.002,0.0005,0.025,,,,,,,,,,,,,,,2018,,,,,,,,,,,,,Potosi,8,August,Winter (Dry),Oxic
Colavi - Canutillos,BC7-113,2018-05-22,13:45,May 2018,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Colavi,Unidad 1,19 19 17.4,65 33 7.08,-19.3215,-65.552,,,,134.9,4.1,,350.0,0.0,12.1,6.92,99.9,58.9,300.0,294.0,6.0,,132.4,2.5,2.5,6.9,134.6,21.64,19.03,1.2,1.0,22.44,19.5,1.2,1.0,,,,,,,2.5,4.0,,,,,,,0.5,10.0,0.5,10.0,0.5,3322.0,19.0,598.0,1040.0,0.5,4.0,0.5,0.5,0.02,10633.0,50.0,0.5,10.0,4082.0,10.0,632.0,1224.0,10.0,10.0,10.0,10.0,0.05,22077.0,10.0,10.0,,,0.003,,,,,30666.67,,,,,,5666.67,,1907333.33,126666.67,,,2018,,,,,,,,,,,,,Potosi,5,May,Autumn (Transition),Oxic
Tarapaya,BTA-050,2018-05-22,9:00,May 2018,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tarapaya,Unidad 1,19 28 18.6,65 47 39.6,-19.4718,-65.7943,0.581,1.0,,137.4,6.8,,652.0,0.1,3.5,8.66,96.7,73.1,525.0,482.0,43.0,,214.1,2.5,60.0,39.7,180.9,68.13,10.69,50.4,1.5,68.93,10.84,51.8,1.5,,,,,,,23.0,40.0,,,,,,,0.5,10.0,0.5,10.0,0.5,479.0,4.0,9.0,1258.0,13.0,4.0,0.5,0.5,0.02,579.0,295.0,0.5,10.0,638.0,10.0,31.0,3665.0,43.0,10.0,10.0,10.0,0.05,6008.0,208.0,10.0,,,0.004,,,,,55976.74,,697.67,,,,511.63,,126255.81,3697.67,,,2018,,,,,,,,,,,,,Potosi,5,May,Autumn (Transition),Oxic
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,BTC-116,2018-05-21,14:10,May 2018,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tacobamba,,19 7 58.8,65 34 12.3,-19.133,-65.5701,0.623,0.0,,146.5,8.6,,600.0,0.0,19.5,6.49,99.4,31.0,422.0,416.0,6.0,,243.3,10.0,175.0,5.9,146.69,50.5,28.46,7.8,5.4,51.3,29.54,8.2,5.4,,,,,,,27.0,40.0,,,,,,,0.5,10.0,0.5,10.0,0.5,212.0,2.0,0.5,0.5,0.5,0.5,0.5,0.5,0.02,169.0,136.0,0.5,10.0,286.0,10.0,10.0,135.0,41.0,10.0,10.0,10.0,0.05,2821.0,76.0,26.0,,,0.004,,,,4333.33,22500.0,,6833.33,,,,,,442000.0,12333.33,,,2018,,,,,,,,,,,,,Potosi,5,May,Autumn (Transition),Oxic
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,BPT-118,2018-05-21,13:20,May 2018,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,,19 7 56.52,65 34 19.32,-19.1324,-65.572,1.087,8.0,,151.5,8.32,-83.1,854.0,0.2,14.5,7.41,101.7,95.9,684.0,610.0,74.0,,178.55,5.0,120.0,121.2,95.22,52.1,11.77,54.0,8.3,55.31,12.08,56.9,8.3,,,,,,,16.0,29.0,,,,,,,0.5,10.0,0.5,10.0,0.5,220.0,0.5,1.0,166.0,8.0,0.5,0.5,0.5,0.02,183.0,1107.0,0.5,10.0,415.0,10.0,10.0,1196.0,10.0,10.0,10.0,10.0,0.05,3098.0,1195.0,10.0,,,0.016,,,,,13918.92,,,,1189.19,,,,39391.89,2635.14,,,2018,,,,,,,,,,,,,Potosi,5,May,Autumn (Transition),Oxic
La Angostura,BTP-090,2018-02-07,17:00,February 2018,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tupiza,Unidad 5,21 30 15.66,65 42 24,-21.5044,-65.7067,,,1427.0,140.0,7.97,-63.4,702.0,0.3,19.4,6.21,96.0,1650.0,28451.0,516.0,27935.0,7.0,270.1,2.5,55.0,29.5,344.6,58.51,30.12,50.4,5.4,59.94,30.87,51.8,5.5,0.09,0.03,0.96,0.01,3.38,2.9,29.0,38.0,,15.0,9.0,,,0.0,0.5,23.0,0.5,22.0,0.5,71.0,1.0,0.5,14.0,0.5,0.5,0.5,0.5,0.02,233.0,1228.0,0.5,395.0,12507.0,724.0,744.0,5228.0,389.0,27.0,1156.0,10.0,3.47,801557.0,1761.0,29.0,0.001,,0.003,0.0005,0.025,0.79,1.04,186.65,41.19,13.93,0.82,19.08,0.97,26.63,14.14,28685.31,445.18,25.88,,2018,,0.12,,,,,,,,,,,Potosi,2,February,Summer (Wet),Oxic
Chuquiago,BCH-060,2018-02-07,15:25,February 2018,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,San Juan del Oro,Unidad 5,21 33 40.8,65 38 52.08,-21.5613,-65.6478,,,1961.0,141.3,7.49,-48.4,510.0,0.2,16.9,6.55,96.1,1650.0,17121.0,344.0,16777.0,17.0,167.0,2.5,70.0,25.6,174.1,48.72,11.02,35.0,5.7,49.22,11.14,35.5,6.1,0.25,0.12,0.44,0.01,3.14,3.6,25.0,33.0,,22.0,4.0,,,0.0,0.5,21.0,0.5,23.0,0.5,6.0,0.5,0.5,31.0,2.0,0.5,0.5,0.5,0.02,203.0,1324.0,0.5,260.0,3507.0,312.0,331.0,1831.0,227.0,20.0,360.0,10.0,1.06,350120.0,1839.0,43.0,0.001,,0.004,0.0005,0.025,1.37,2.56,107.29,21.12,13.41,1.25,30.7,1.19,19.73,15.5,20856.95,208.68,18.6,,2018,,0.06,,,,,,,,,,,Potosi,2,February,Summer (Wet),Oxic
Cotagaita,BCO-070,2018-02-07,13:30,February 2018,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Cotagaita,Unidad 4,20 49 15.9,65 39 57.6,-20.8211,-65.666,,,1246.0,144.5,7.085,-17.4,802.0,0.2,18.5,6.5,95.9,1650.0,59720.0,640.0,59080.0,2.0,346.0,2.5,15.0,25.2,529.8,68.27,42.63,30.8,6.8,69.58,43.05,32.3,7.1,0.09,0.03,1.33,0.01,3.85,2.9,24.0,31.0,,15.0,3.0,,,0.0,0.5,168.0,0.5,27.0,0.5,248.0,11.0,0.5,123.0,0.5,0.5,0.5,0.5,0.02,309.0,1080.0,0.5,565.0,19846.0,1154.0,1465.0,5337.0,2030.0,35.0,2015.0,33.0,10.376,1347220.0,1558.0,10.0,0.001,,0.004,0.0005,0.025,0.46,,88.25,33.99,34.36,2.84,8.09,0.59,24.8,9.56,22798.09,331.72,19.35,0.56,2018,,0.18,,,,,,,,,,,Potosi,2,February,Summer (Wet),Oxic
Tumusla,BTU-080,2018-02-07,8:45,February 2018,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tumusla,Unidad 4,20 29 15.24,65 37 5.46,-20.4876,-65.6182,1.523,30.0,1511.0,147.8,8.297,-86.6,662.0,0.2,16.9,6.86,96.7,1650.0,6675.0,446.0,6229.0,13.0,240.4,2.5,90.0,31.4,279.8,49.21,28.53,54.2,5.7,50.53,28.54,55.4,6.4,0.25,0.12,0.78,0.01,2.08,4.3,28.0,36.0,,20.0,5.0,,,4.0,0.5,10.0,0.5,10.0,0.5,34.0,0.5,0.5,48.0,0.5,0.5,0.5,0.5,0.02,210.0,644.0,0.5,30.0,2068.0,130.0,110.0,1196.0,35.0,10.0,126.0,10.0,0.208,144818.0,507.0,23.0,0.001,,0.004,0.0005,0.025,,3.69,184.3,19.31,5.62,,,,17.66,4.82,23215.28,326.54,20.87,,2018,,0.03,,,,,,,,,,,Potosi,2,February,Summer (Wet),Oxic
Potosí - Naciente río La Ribera,BNR-010,2018-02-06,12:35,February 2018,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,De la Ribera,Unidad 1,19 35 51.6,65 43 52.8,-19.5977,-65.7313,0.091,0.0,3350.0,121.8,8.974,-124.8,299.0,0.1,16.7,5.67,98.3,17.5,423.0,182.0,241.0,21.0,88.3,2.5,90.0,8.6,59.1,30.4,3.0,18.2,2.9,30.57,3.06,21.5,2.9,0.09,0.06,0.13,0.01,1.84,4.3,17.0,37.0,,10.0,0.0,,,26.0,0.5,10.0,0.5,10.0,0.5,266.0,0.5,0.5,83.0,2.0,0.5,0.5,0.5,0.02,507.0,161.0,0.5,10.0,280.0,10.0,35.0,105.0,10.0,10.0,27.0,10.0,0.05,1532.0,165.0,27.0,0.001,,0.002,,,,112.03,91.29,100.0,,,16.6,,145.23,,4253.11,58.09,,,2018,,,,,,,,,,,,,Potosi,2,February,Summer (Wet),Oxic
Tarapaya,BTA-050,2018-02-06,10:10,February 2018,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tarapaya,Unidad 1,19 28 18.72,65 47 36.6,-19.4719,-65.7935,1.56,7.0,1868.0,137.2,7.604,-46.4,535.0,0.2,15.3,6.57,98.1,931.0,1358.0,350.0,1008.0,5.0,152.1,2.5,15.0,23.0,237.3,47.1,8.38,31.1,4.6,48.81,8.53,34.2,4.7,0.09,0.06,3.41,0.01,5.39,2.9,25.0,34.0,,0.0,0.0,,,2.0,0.5,10.0,0.5,10.0,0.5,1081.0,10.0,3.0,5481.0,4.0,27.0,0.5,0.5,0.02,1027.0,152.0,0.5,10.0,1000.0,22.0,141.0,5918.0,287.0,36.0,233.0,10.0,0.94,24181.0,124.0,10.0,0.001,,0.0005,0.0005,0.025,,,433.53,226.59,280.75,,,8.93,136.9,,22970.24,,11.9,,2018,,0.93,,,,,,,,,,,Potosi,2,February,Summer (Wet),Oxic
San Antonio - Potosí,BSA-030,2018-02-06,8:50,February 2018,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Aljamayu,Unidad 1,19 34 41.04,65 48 12.24,-19.5781,-65.8034,0.745,1.0,702.0,135.2,5.173,89.9,1424.0,0.7,13.4,6.73,99.1,964.0,2448.0,1250.0,1198.0,7.0,298.5,2.5,2.5,80.2,777.0,80.12,23.9,83.5,15.3,81.0,24.48,85.7,15.8,0.09,0.06,5.86,0.01,10.35,6.6,45.0,60.0,,0.0,0.0,,,0.0,0.5,28.0,0.5,10.0,0.5,4678.0,67.0,930.0,44190.0,24.0,264.0,8.0,0.5,0.02,32265.0,354.0,0.5,10.0,3846.0,66.0,1001.0,40541.0,1198.0,194.0,552.0,30.0,3.094,78196.0,366.0,10.0,0.001,,0.01,0.0005,0.29,,,,448.0,979.97,23.37,10.02,,59.27,,38339.73,,,25.04,2018,,2.58,,,,,,,,,,,Potosi,2,February,Summer (Wet),Oxic
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,BTC-116,2018-02-05,13:10,February 2018,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tacobamba,,19 7 55.92,65 34 12.12,-19.1322,-65.57,0.698,1.0,2130.0,145.9,8.529,-101.4,469.0,0.1,24.3,5.94,99.7,1650.0,9916.0,340.0,9576.0,3.0,180.0,2.5,95.0,4.3,169.9,28.84,26.22,25.1,5.6,28.94,26.51,25.3,6.6,0.09,0.03,1.8,0.01,2.2,1.5,19.0,23.0,,0.0,0.0,,,0.0,0.5,10.0,0.5,10.0,0.5,60.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.02,174.0,50.0,0.5,85.0,4361.0,149.0,168.0,420.0,54.0,10.0,115.0,10.0,0.769,185621.0,236.0,10.0,0.001,,0.003,0.0005,0.025,,,43.86,11.42,5.64,,19.42,,17.54,8.88,19365.81,449.14,15.56,,2018,,0.08,,,,,,,,,,,Potosi,2,February,Summer (Wet),Oxic
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,BPT-118,2018-02-05,12:15,February 2018,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,,19 7 57.42,65 34 18.42,-19.1326,-65.5718,2.47,79.0,2230.0,149.1,8.211,-81.7,445.0,0.1,20.1,6.54,100.9,1650.0,4121.0,272.0,3849.0,16.0,114.4,2.5,75.0,38.3,90.9,26.53,11.71,33.3,5.5,26.8,11.72,33.6,6.3,0.18,0.06,0.3,0.01,3.73,2.2,19.0,24.0,,6.0,2.0,,,0.0,0.5,10.0,0.5,10.0,0.5,36.0,0.5,0.5,3.0,4.0,0.5,0.5,0.5,0.02,148.0,224.0,0.5,31.0,1994.0,72.0,94.0,834.0,90.0,10.0,95.0,10.0,0.05,94816.0,316.0,28.0,0.001,,0.003,0.0005,0.025,,7.27,215.9,23.25,22.34,,23.9,,24.42,8.05,24595.48,508.7,18.71,,2018,,,,,,,,,,,,,Potosi,2,February,Summer (Wet),Oxic
Colavi - Canutillos,BC7-113,2018-02-04,16:00,February 2018,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Colavi,Unidad 1,19 19 17.76,65 33 7.68,-19.3216,-65.5521,0.474,0.0,2120.0,134.8,3.479,183.7,471.0,0.0,14.2,6.61,100.0,387.0,646.0,246.0,400.0,3.0,63.3,2.5,2.5,8.2,208.8,16.18,5.57,1.5,1.5,16.2,5.64,1.6,1.5,0.09,0.03,0.89,0.01,4.92,1.5,11.0,20.0,,0.0,0.0,,,40.0,0.5,10.0,0.5,10.0,2.0,4705.0,28.0,659.0,1364.0,0.5,6.0,3.0,0.5,0.02,10871.0,26.0,0.5,10.0,3074.0,29.0,394.0,887.0,25.0,10.0,34.0,10.0,0.05,15599.0,95.0,35.0,0.001,,0.002,0.004,0.025,,87.5,,81.25,62.5,,172.5,,,,11820.0,,2.5,,2018,,,,,,,,,,,,,Potosi,2,February,Summer (Wet),Oxic
Colavi - Canutillos,BC7-113,2019-09-25,12:30,September 2019,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Colavi,Unidad 1,19 19 17.04,65 33 6.96,-19.3214,-65.5519,0.428,0.0,3315.0,136.5,5.09,94.35,302.0,0.1,11.5,7.08,100.5,52.2,273.0,236.0,37.0,,89.2,2.5,5.0,2.0,65.0,6.15,18.57,1.5,1.9,6.28,18.72,1.7,2.0,,,,,,,7.0,10.0,,,,,,,0.5,10.0,0.5,10.0,0.5,4550.0,21.0,317.0,893.0,0.5,3.0,0.5,0.5,,2489.0,48.0,0.5,10.0,2569.0,10.0,234.0,601.0,10.0,10.0,20.0,10.0,,7157.0,52.0,10.0,,,0.002,,,,,,489.19,,,108.11,,,,126162.16,,,,2019,,,,,,,,,,,,,Potosi,9,September,Spring (Transition),Oxic
Tarapaya,BTA-050,2019-09-25,8:40,September 2019,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tarapaya,Unidad 1,19 28 18.66,65 47 39.54,-19.4718,-65.7943,0.4,1.0,878.0,126.3,7.81,-57.85,1138.0,0.5,11.0,6.65,89.4,123.0,861.0,746.0,112.0,,222.7,2.5,140.0,77.2,317.9,65.04,15.28,96.7,18.1,65.44,15.63,97.4,18.6,,,,,,,24.0,37.0,,,,,,,0.5,10.0,0.5,10.0,0.5,1172.0,9.0,31.0,685.0,36.0,2.0,0.5,0.5,,506.0,341.0,0.5,10.0,647.0,10.0,64.0,1900.0,79.0,10.0,28.0,10.0,,5128.0,185.0,10.0,,,0.004,,,,,10848.21,88.39,383.93,,,,294.64,,41267.86,,,,2019,,,,,,,,,,,,,Potosi,9,September,Spring (Transition),Oxic
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,BTC-116,2019-09-24,14:40,September 2019,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tacobamba,,19 8 30.6,65 33 59.76,-19.1418,-65.5666,0.79,0.0,1424.0,145.8,8.45,-98.1,702.0,0.3,25.6,5.8,100.2,34.3,517.0,464.0,53.0,,275.1,15.0,180.0,3.2,199.0,25.04,52.22,23.1,7.7,25.35,52.99,24.0,8.0,,,,,,,2.5,1.0,,,,,,,0.5,10.0,0.5,10.0,0.5,9.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,22.0,83.0,0.5,10.0,43.0,10.0,37.0,10.0,10.0,10.0,10.0,10.0,,403.0,69.0,10.0,,,0.002,,,,,,,,,,,698.11,,7188.68,641.51,,,2019,,,,,,,,,,,,,Potosi,9,September,Spring (Transition),Oxic
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,BPT-118,2019-09-24,13:00,September 2019,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,,19 7 56.64,65 34 22.74,-19.1324,-65.573,0.903,4.0,946.0,158.0,8.41,-95.2,1056.0,0.5,21.15,6.79,106.75,73.9,727.0,642.0,80.0,,252.7,5.0,125.0,186.4,137.7,16.75,19.85,170.5,13.0,17.13,20.11,172.8,13.4,,,,,,,9.0,13.0,,,,,,,0.5,10.0,0.5,10.0,0.5,282.0,2.0,6.0,69.0,20.0,0.5,0.5,0.5,,134.0,1563.0,1.0,10.0,256.0,10.0,21.0,403.0,30.0,10.0,29.0,10.0,,2051.0,986.0,10.0,,,0.002,,,,,4175.0,200.0,125.0,,,,187.5,,23962.5,,,,2019,,,,,,,,,,,,,Potosi,9,September,Spring (Transition),Oxic
