Station,Campaign,Date,Metal,Sediment_Conc_mg_per_kg,Water_Conc_ug_per_L,Water_Conc_mg_per_L,Partitioning_Ratio_L_per_kg,Log_Partitioning_Ratio,DO_mg_per_L,DO_Status,pH,Fe_%,Mn_mg_per_kg,Al_%,S_%,Organic_Matter_%
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Arsenic,7.2,18.0,0.018,400.00000000000006,2.6020599913279625,6.18,Oxic,8.4,2.18,386.0,1.41,0.5,0.45
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Cadmium,0.05,0.5,0.0005,100.0,2.0,6.18,Oxic,8.4,2.18,386.0,1.41,0.5,0.45
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Lead,19.3,36.0,0.036,536.1111111111112,2.7292548082404866,6.18,Oxic,8.4,2.18,386.0,1.41,0.5,0.45
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Zinc,47.4,137.0,0.137,345.98540145985396,2.539057774517678,6.18,Oxic,8.4,2.18,386.0,1.41,0.5,0.45
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Arsenic,6.7,18.0,0.018,372.2222222222223,2.5708022975975204,6.18,Oxic,8.4,1.86,351.0,1.04,0.5,0.45
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Cadmium,0.07,0.5,0.0005,140.0,2.146128035678238,6.18,Oxic,8.4,1.86,351.0,1.04,0.5,0.45
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Lead,16.7,36.0,0.036,463.8888888888889,2.666413970380296,6.18,Oxic,8.4,1.86,351.0,1.04,0.5,0.45
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Zinc,41.1,137.0,0.137,300.0,2.4771212547196626,6.18,Oxic,8.4,1.86,351.0,1.04,0.5,0.45
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Arsenic,7.0,18.0,0.018,388.8888888888889,2.589825534910951,6.18,Oxic,8.4,1.92,350.0,0.96,0.5,0.45
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Cadmium,0.04,0.5,0.0005,80.0,1.9030899869919435,6.18,Oxic,8.4,1.92,350.0,0.96,0.5,0.45
