Station,Campaign,Metal,Sediment_Conc_mg_per_kg,Water_Conc_ug_per_L,Water_Conc_mg_per_L,Partitioning_Ratio_L_per_kg,pH,Clay_%,Sand_%,Organic_Matter_%,Location
Villamontes,December 2020,Cadmium,0.02,0.5,0.0005,40.0,8.09,1.0,95.17,0.2,Bolivia (Non-Mining)
Villamontes,December 2020,Lead,5.9,59.0,0.059,100.00000000000001,8.09,1.0,95.17,0.2,Bolivia (Non-Mining)
Villamontes,December 2020,Zinc,22.8,270.0,0.27,84.44444444444444,8.09,1.0,95.17,0.2,Bolivia (Non-Mining)
Villamontes,December 2020,Arsenic,11.0,25.0,0.025,440.0,8.04,1.0,95.32,0.2,Bolivia (Non-Mining)
Villamontes,December 2020,Cadmium,0.05,0.5,0.0005,100.0,8.04,1.0,95.32,0.2,Bolivia (Non-Mining)
Villamontes,December 2020,Lead,7.2,59.0,0.059,122.03389830508476,8.04,1.0,95.32,0.2,Bolivia (Non-Mining)
Villamontes,December 2020,Zinc,22.6,270.0,0.27,83.70370370370371,8.04,1.0,95.32,0.2,Bolivia (Non-Mining)
Villamontes,November 2021,Arsenic,17.2,26.0,0.026,661.5384615384615,7.3,1.5,1.85,4.16,Bolivia (Non-Mining)
Villamontes,November 2021,Cadmium,0.12,0.25,0.00025,480.0,7.3,1.5,1.85,4.16,Bolivia (Non-Mining)
Villamontes,November 2021,Lead,32.4,81.0,0.081,399.99999999999994,7.3,1.5,1.85,4.16,Bolivia (Non-Mining)
Villamontes,November 2021,Zinc,100.0,240.0,0.24,416.6666666666667,7.3,1.5,1.85,4.16,Bolivia (Non-Mining)
Villamontes,November 2021,Arsenic,12.0,26.0,0.026,461.53846153846155,7.3,1.5,1.85,4.16,Bolivia (Non-Mining)
Villamontes,November 2021,Cadmium,0.14,0.25,0.00025,560.0,7.3,1.5,1.85,4.16,Bolivia (Non-Mining)
Villamontes,November 2021,Lead,27.9,81.0,0.081,344.4444444444444,7.3,1.5,1.85,4.16,Bolivia (Non-Mining)
Villamontes,November 2021,Zinc,96.0,240.0,0.24,400.0,7.3,1.5,1.85,4.16,Bolivia (Non-Mining)
Villamontes,November 2021,Arsenic,11.5,26.0,0.026,442.3076923076923,7.6,1.0,36.16,1.17,Bolivia (Non-Mining)
Villamontes,November 2021,Cadmium,0.13,0.25,0.00025,520.0,7.6,1.0,36.16,1.17,Bolivia (Non-Mining)
Villamontes,November 2021,Lead,19.3,81.0,0.081,238.2716049382716,7.6,1.0,36.16,1.17,Bolivia (Non-Mining)
Villamontes,November 2021,Zinc,79.8,240.0,0.24,332.5,7.6,1.0,36.16,1.17,Bolivia (Non-Mining)
Villamontes,November 2021,Arsenic,11.0,26.0,0.026,423.0769230769231,7.6,1.0,36.16,1.17,Bolivia (Non-Mining)
Villamontes,November 2021,Cadmium,0.15,0.25,0.00025,600.0,7.6,1.0,36.16,1.17,Bolivia (Non-Mining)
Villamontes,November 2021,Lead,21.8,81.0,0.081,269.1358024691358,7.6,1.0,36.16,1.17,Bolivia (Non-Mining)
Villamontes,November 2021,Zinc,86.5,240.0,0.24,360.4166666666667,7.6,1.0,36.16,1.17,Bolivia (Non-Mining)
Villamontes,August 2021,Arsenic,5.7,4.0,0.004,1425.0,7.2,1.5,84.39,0.37,Bolivia (Non-Mining)
Villamontes,August 2021,Cadmium,0.07,0.25,0.00025,280.0,7.2,1.5,84.39,0.37,Bolivia (Non-Mining)
Villamontes,August 2021,Lead,10.9,0.5,0.0005,21800.0,7.2,1.5,84.39,0.37,Bolivia (Non-Mining)
Villamontes,August 2021,Zinc,41.3,25.0,0.025,1651.9999999999998,7.2,1.5,84.39,0.37,Bolivia (Non-Mining)
Villamontes,August 2021,Arsenic,8.9,4.0,0.004,2225.0,7.2,1.5,84.39,0.37,Bolivia (Non-Mining)
Villamontes,August 2021,Cadmium,0.27,0.25,0.00025,1080.0,7.2,1.5,84.39,0.37,Bolivia (Non-Mining)
Villamontes,August 2021,Lead,15.7,0.5,0.0005,31399.999999999996,7.2,1.5,84.39,0.37,Bolivia (Non-Mining)
Villamontes,August 2021,Zinc,72.2,25.0,0.025,2888.0,7.2,1.5,84.39,0.37,Bolivia (Non-Mining)
Villamontes,August 2021,Arsenic,9.2,4.0,0.004,2300.0,7.0,2.0,87.16,0.27,Bolivia (Non-Mining)
Villamontes,August 2021,Cadmium,0.08,0.25,0.00025,320.0,7.0,2.0,87.16,0.27,Bolivia (Non-Mining)
