Station,Campaign,Metal,Sediment_Median_mg_per_kg,Water_Conc_ug_per_L,Water_Conc_mg_per_L,Partitioning_Ratio_L_per_kg,Log_Partitioning_Ratio,pH,Clay_%,Sand_%,Organic_Matter_%,DO_mg_per_L,Fe_%,Mn_mg_per_kg,Al_%,S_%,Ca_%,P_%,Location
Chuquiago,February 2024,Arsenic,17.5,492.0,0.492,35.56910569105691,1.551072945918934,7.9,26.3,37.4,1.58,6.13,4.62125,420.0,,,,,Potosí (Mining Zone)
Chuquiago,February 2024,Cadmium,5.0,398.0,0.398,12.562814070351758,1.099086932262331,7.9,26.3,37.4,1.58,6.13,4.62125,420.0,,,,,Potosí (Mining Zone)
Chuquiago,February 2024,Lead,26.5,2960.0,2.96,8.952702702702704,0.9519541628778693,7.9,26.3,37.4,1.58,6.13,4.62125,420.0,,,,,Potosí (Mining Zone)
Chuquiago,February 2024,Zinc,111.0,25.0,0.025,4440.0,3.6473829701146196,7.9,26.3,37.4,1.58,6.13,4.62125,420.0,,,,,Potosí (Mining Zone)
Chuquiago,October 2017,Arsenic,8.5,10.0,0.01,850.0,2.929418925714293,8.0,0.0,94.93,0.4,8.03,2.08,281.0,2.3,0.5,1.17,0.066,Potosí (Mining Zone)
Chuquiago,October 2017,Cadmium,0.16,1.0,0.001,160.0,2.2041199826559246,8.0,0.0,94.93,0.4,8.03,2.08,281.0,2.3,0.5,1.17,0.066,Potosí (Mining Zone)
Chuquiago,October 2017,Lead,15.9,1.0,0.001,15900.0,4.201397124320452,8.0,0.0,94.93,0.4,8.03,2.08,281.0,2.3,0.5,1.17,0.066,Potosí (Mining Zone)
Chuquiago,October 2017,Zinc,69.9,10.0,0.01,6990.0,3.8444771757456815,8.0,0.0,94.93,0.4,8.03,2.08,281.0,2.3,0.5,1.17,0.066,Potosí (Mining Zone)
Colavi - Canutillos,April 2019,Arsenic,43.4,10.0,0.01,4340.0,3.637489729512511,8.0,3.0,70.69,0.63,6.63,3.18,554.0,1.25,0.5,0.06,0.026,Potosí (Mining Zone)
Colavi - Canutillos,April 2019,Cadmium,0.16,10.0,0.01,16.0,1.2041199826559248,8.0,3.0,70.69,0.63,6.63,3.18,554.0,1.25,0.5,0.06,0.026,Potosí (Mining Zone)
Colavi - Canutillos,April 2019,Lead,52.0,10.0,0.01,5200.0,3.716003343634799,8.0,3.0,70.69,0.63,6.63,3.18,554.0,1.25,0.5,0.06,0.026,Potosí (Mining Zone)
Colavi - Canutillos,April 2019,Zinc,98.5,564.0,0.564,174.645390070922,2.2421571265142695,8.0,3.0,70.69,0.63,6.63,3.18,554.0,1.25,0.5,0.06,0.026,Potosí (Mining Zone)
Colavi - Canutillos,August 2016,Arsenic,25.0,2.0,0.002,12500.0,4.096910013008056,6.7,,,,6.66,6.29,456.0,1.78,0.5,0.07,0.035,Potosí (Mining Zone)
Colavi - Canutillos,August 2016,Cadmium,1.39,2.5,0.0025,556.0,2.7450747915820575,6.7,,,,6.66,6.29,456.0,1.78,0.5,0.07,0.035,Potosí (Mining Zone)
Colavi - Canutillos,August 2016,Lead,34.6,3.0,0.003,11533.333333333334,4.061954844073115,6.7,,,,6.66,6.29,456.0,1.78,0.5,0.07,0.035,Potosí (Mining Zone)
Colavi - Canutillos,August 2016,Zinc,530.0,506.0,0.506,1047.4308300395257,3.02012535276099,6.7,,,,6.66,6.29,456.0,1.78,0.5,0.07,0.035,Potosí (Mining Zone)
Colavi - Canutillos,August 2017,Arsenic,18.7,10.0,0.01,1870.0,3.271841606536499,4.4,1.0,96.92,1.02,7.32,3.71,707.0,1.26,0.5,0.05,0.034,Potosí (Mining Zone)
Colavi - Canutillos,August 2017,Cadmium,2.18,4.0,0.004,545.0,2.7363965022766426,4.4,1.0,96.92,1.02,7.32,3.71,707.0,1.26,0.5,0.05,0.034,Potosí (Mining Zone)
Colavi - Canutillos,August 2017,Lead,23.1,2.0,0.002,11550.0,4.062581984228163,4.4,1.0,96.92,1.02,7.32,3.71,707.0,1.26,0.5,0.05,0.034,Potosí (Mining Zone)
Colavi - Canutillos,August 2017,Zinc,552.0,885.0,0.885,623.728813559322,2.7949958070313734,4.4,1.0,96.92,1.02,7.32,3.71,707.0,1.26,0.5,0.05,0.034,Potosí (Mining Zone)
Colavi - Canutillos,August 2022,Arsenic,139.07999999999998,5.0,0.005,27815.999999999996,4.444294677675202,2.9,2.0,45.4,7.66,8.06,2.05488375,326.56,,,,,Potosí (Mining Zone)
Colavi - Canutillos,August 2022,Cadmium,7.765000000000001,5.0,0.005,1553.0,3.1911714557285586,2.9,2.0,45.4,7.66,8.06,2.05488375,326.56,,,,,Potosí (Mining Zone)
Colavi - Canutillos,August 2022,Lead,50.69,5.0,0.005,10138.0,4.005952286887383,2.9,2.0,45.4,7.66,8.06,2.05488375,326.56,,,,,Potosí (Mining Zone)
