Station,Campaign,Metal,Sediment_Median_mg_per_kg,Water_Conc_ug_per_L,Water_Conc_mg_per_L,Partitioning_Ratio_L_per_kg,Log_Partitioning_Ratio,pH,Clay_%,Sand_%,Organic_Matter_%,DO_mg_per_L,Fe_%,Mn_mg_per_kg,Al_%,S_%,Ca_%,P_%,Location
Cotagaita,December 2021,Cadmium,0.275,0.25,0.00025,1100.0,3.041392685158225,7.35,0.75,48.65,1.225,6.58,3.65,361.5,1.315,0.5,0.26,0.055,Potosí (Mining Zone)
Cotagaita,December 2021,Lead,33.599999999999994,0.5,0.0005,67199.99999999999,4.827369273053825,7.35,0.75,48.65,1.225,6.58,3.65,361.5,1.315,0.5,0.26,0.055,Potosí (Mining Zone)
Cotagaita,December 2021,Zinc,129.0,25.0,0.025,5160.0,3.7126497016272113,7.35,0.75,48.65,1.225,6.58,3.65,361.5,1.315,0.5,0.26,0.055,Potosí (Mining Zone)
Cotagaita,December 2023,Arsenic,18.3,700.0,0.7,26.142857142857146,1.4173530497161726,6.5,0.0,63.87,0.65,5.88,1.16015,221.0,,,,,Potosí (Mining Zone)
Cotagaita,December 2023,Cadmium,0.23349999999999999,18.3,0.0183,12.759562841530053,1.1058357951717015,6.5,0.0,63.87,0.65,5.88,1.16015,221.0,,,,,Potosí (Mining Zone)
Cotagaita,December 2023,Lead,18.950000000000003,1010.0,1.01,18.762376237623766,1.2732878405214487,6.5,0.0,63.87,0.65,5.88,1.16015,221.0,,,,,Potosí (Mining Zone)
Cotagaita,December 2023,Zinc,51.150000000000006,5048.0,5.048,10.13272583201268,1.005726291812101,6.5,0.0,63.87,0.65,5.88,1.16015,221.0,,,,,Potosí (Mining Zone)
Cotagaita,February 2024,Arsenic,75.5,486.0,0.486,155.34979423868313,2.191310682366895,6.3,27.5,40.4,1.82,6.98,6.5457,371.0,,,,,Potosí (Mining Zone)
Cotagaita,February 2024,Cadmium,5.0,911.0,0.911,5.48847420417124,0.7394516273630205,6.3,27.5,40.4,1.82,6.98,6.5457,371.0,,,,,Potosí (Mining Zone)
Cotagaita,February 2024,Lead,30.5,1712.0,1.712,17.815420560747665,1.2507960790056514,6.3,27.5,40.4,1.82,6.98,6.5457,371.0,,,,,Potosí (Mining Zone)
Cotagaita,February 2024,Zinc,107.5,25.0,0.025,4300.0,3.6334684555795866,6.3,27.5,40.4,1.82,6.98,6.5457,371.0,,,,,Potosí (Mining Zone)
Cotagaita,October 2017,Arsenic,60.8,10.0,0.01,6080.0,3.783903579272735,7.5,1.0,98.93,0.58,8.3,3.0999999999999996,317.0,1.81,0.5,0.39,0.0665,Potosí (Mining Zone)
Cotagaita,October 2017,Cadmium,0.335,1.0,0.001,335.0,2.525044807036845,7.5,1.0,98.93,0.58,8.3,3.0999999999999996,317.0,1.81,0.5,0.39,0.0665,Potosí (Mining Zone)
Cotagaita,October 2017,Lead,28.25,3.0,0.003,9416.666666666666,3.973897197435795,7.5,1.0,98.93,0.58,8.3,3.0999999999999996,317.0,1.81,0.5,0.39,0.0665,Potosí (Mining Zone)
Cotagaita,October 2017,Zinc,120.0,56.0,0.056,2142.8571428571427,3.3309932190414244,7.5,1.0,98.93,0.58,8.3,3.0999999999999996,317.0,1.81,0.5,0.39,0.0665,Potosí (Mining Zone)
El Potrillo,August 2016,Arsenic,8.05,11.0,0.011,731.8181818181819,2.8644031952096434,8.2,,,,7.8,2.335,213.0,1.155,0.5,0.395,0.041499999999999995,Argentina/Paraguay
El Potrillo,August 2016,Cadmium,0.13,0.5,0.0005,260.0,2.4149733479708178,8.2,,,,7.8,2.335,213.0,1.155,0.5,0.395,0.041499999999999995,Argentina/Paraguay
El Potrillo,August 2016,Lead,16.4,20.0,0.02,819.9999999999999,2.9138138523837167,8.2,,,,7.8,2.335,213.0,1.155,0.5,0.395,0.041499999999999995,Argentina/Paraguay
El Potrillo,August 2016,Zinc,60.449999999999996,91.0,0.091,664.2857142857142,2.822354912875697,8.2,,,,7.8,2.335,213.0,1.155,0.5,0.395,0.041499999999999995,Argentina/Paraguay
El Potrillo,July 2019,Arsenic,8.0,10.0,0.01,800.0,2.9030899869919438,8.55,4.0,53.305,0.7749999999999999,9.61,2.165,239.5,1.5299999999999998,0.5,0.415,0.039,Argentina/Paraguay
El Potrillo,July 2019,Cadmium,0.125,10.0,0.01,12.5,1.0969100130080565,8.55,4.0,53.305,0.7749999999999999,9.61,2.165,239.5,1.5299999999999998,0.5,0.415,0.039,Argentina/Paraguay
El Potrillo,July 2019,Lead,17.6,10.0,0.01,1760.0,3.24551266781415,8.55,4.0,53.305,0.7749999999999999,9.61,2.165,239.5,1.5299999999999998,0.5,0.415,0.039,Argentina/Paraguay
El Potrillo,July 2019,Zinc,69.9,108.0,0.108,647.2222222222223,2.8110534202587316,8.55,4.0,53.305,0.7749999999999999,9.61,2.165,239.5,1.5299999999999998,0.5,0.415,0.039,Argentina/Paraguay
El Potrillo,March 2024,Arsenic,13.5,540.0,0.54,25.0,1.3979400086720377,7.61,23.8,54.1,2.39,3.11,3.5652,306.5,,,,,Argentina/Paraguay
El Potrillo,March 2024,Cadmium,5.0,608.0,0.608,8.223684210526317,0.915066425063284,7.61,23.8,54.1,2.39,3.11,3.5652,306.5,,,,,Argentina/Paraguay
El Potrillo,March 2024,Lead,15.0,1111.0,1.111,13.501350135013501,1.1303772001148136,7.61,23.8,54.1,2.39,3.11,3.5652,306.5,,,,,Argentina/Paraguay
El Potrillo,March 2024,Zinc,69.0,25.0,0.025,2760.0,3.4409090820652177,7.61,23.8,54.1,2.39,3.11,3.5652,306.5,,,,,Argentina/Paraguay
El Potrillo,November 2023,Arsenic,3.96,171.0,0.171,23.157894736842103,1.3646990755333583,8.0,0.0,44.93,0.97,6.03,1.26585,288.5,,,,,Argentina/Paraguay
El Potrillo,November 2023,Cadmium,0.1235,2.4,0.0024,51.458333333333336,1.7114557158840786,8.0,0.0,44.93,0.97,6.03,1.26585,288.5,,,,,Argentina/Paraguay
El Potrillo,November 2023,Lead,12.600000000000001,473.0,0.473,26.638477801268504,1.4255094043797514,8.0,0.0,44.93,0.97,6.03,1.26585,288.5,,,,,Argentina/Paraguay
El Potrillo,November 2023,Zinc,45.4,2416.0,2.416,18.79139072847682,1.2739589229080097,8.0,0.0,44.93,0.97,6.03,1.26585,288.5,,,,,Argentina/Paraguay
El Potrillo,October 2022,Arsenic,5.0,5.0,0.005,1000.0,3.0,8.4,0.5,81.96,0.9,8.09,1.807,206.0,,,,,Argentina/Paraguay
El Potrillo,October 2022,Cadmium,0.5,2.5,0.0025,200.0,2.3010299956639813,8.4,0.5,81.96,0.9,8.09,1.807,206.0,,,,,Argentina/Paraguay
El Potrillo,October 2022,Lead,10.0,32.0,0.032,312.5,2.494850021680094,8.4,0.5,81.96,0.9,8.09,1.807,206.0,,,,,Argentina/Paraguay
El Potrillo,October 2022,Zinc,48.9,87.0,0.087,562.0689655172414,2.7497896065050016,8.4,0.5,81.96,0.9,8.09,1.807,206.0,,,,,Argentina/Paraguay
El Puente,August 2017,Arsenic,13.0,10.0,0.01,1300.0,3.113943352306837,8.3,1.0,97.92,0.63,8.35,2.57,312.0,1.99,0.5,1.08,0.056,Bolivia (Non-Mining)
El Puente,August 2017,Cadmium,0.2,0.5,0.0005,400.0,2.6020599913279625,8.3,1.0,97.92,0.63,8.35,2.57,312.0,1.99,0.5,1.08,0.056,Bolivia (Non-Mining)
El Puente,August 2017,Lead,23.3,3.0,0.003,7766.666666666667,3.8902346663063567,8.3,1.0,97.92,0.63,8.35,2.57,312.0,1.99,0.5,1.08,0.056,Bolivia (Non-Mining)
El Puente,August 2017,Zinc,107.0,43.0,0.043,2488.372093023256,3.395915322105623,8.3,1.0,97.92,0.63,8.35,2.57,312.0,1.99,0.5,1.08,0.056,Bolivia (Non-Mining)
El Puente,August 2021,Arsenic,13.35,3.0,0.003,4450.0,3.6483600109809315,7.244999999999999,0.75,90.58,0.355,9.13,3.685,338.0,1.4249999999999998,0.5,0.895,0.078,Bolivia (Non-Mining)
El Puente,August 2021,Cadmium,0.255,0.25,0.00025,1020.0,3.0086001717619175,7.244999999999999,0.75,90.58,0.355,9.13,3.685,338.0,1.4249999999999998,0.5,0.895,0.078,Bolivia (Non-Mining)
El Puente,August 2021,Lead,28.75,2.0,0.002,14375.0,4.157607853361668,7.244999999999999,0.75,90.58,0.355,9.13,3.685,338.0,1.4249999999999998,0.5,0.895,0.078,Bolivia (Non-Mining)
El Puente,August 2021,Zinc,110.3,25.0,0.025,4412.0,3.644635503768153,7.244999999999999,0.75,90.58,0.355,9.13,3.685,338.0,1.4249999999999998,0.5,0.895,0.078,Bolivia (Non-Mining)
El Puente,August 2022,Arsenic,8.989999999999998,5.0,0.005,1797.9999999999995,3.25478968739721,7.5,1.0,77.79,0.94,8.89,2.24022335,270.84000000000003,,,,,Bolivia (Non-Mining)
El Puente,August 2022,Cadmium,1.06,2.5,0.0025,424.0,2.6273658565927325,7.5,1.0,77.79,0.94,8.89,2.24022335,270.84000000000003,,,,,Bolivia (Non-Mining)
El Puente,August 2022,Lead,14.14,5.0,0.005,2828.0,3.4514794051248616,7.5,1.0,77.79,0.94,8.89,2.24022335,270.84000000000003,,,,,Bolivia (Non-Mining)
El Puente,August 2022,Zinc,76.025,426.0,0.426,178.462441314554,2.251546829713451,7.5,1.0,77.79,0.94,8.89,2.24022335,270.84000000000003,,,,,Bolivia (Non-Mining)
El Puente,August 2023,Arsenic,605.5,5.0,0.005,121100.0,5.083144143143052,7.7,0.51,73.59,0.67,8.02,3.61775,885.0,,,,,Bolivia (Non-Mining)
El Puente,August 2023,Cadmium,22.950000000000003,0.25,0.00025,91800.00000000001,4.962842681201242,7.7,0.51,73.59,0.67,8.02,3.61775,885.0,,,,,Bolivia (Non-Mining)
El Puente,August 2023,Lead,702.5,2.0,0.002,351250.0,5.545616332913136,7.7,0.51,73.59,0.67,8.02,3.61775,885.0,,,,,Bolivia (Non-Mining)
El Puente,August 2023,Zinc,5281.0,25.0,0.025,211240.0,5.324776158816457,7.7,0.51,73.59,0.67,8.02,3.61775,885.0,,,,,Bolivia (Non-Mining)
El Puente,December 2020,Arsenic,14.950000000000001,3.0,0.003,4983.333333333334,3.697519937940786,8.2,1.5,52.755,1.395,6.885,2.48,331.0,1.635,0.5,1.025,0.046,Bolivia (Non-Mining)
El Puente,December 2020,Cadmium,0.29000000000000004,0.25,0.00025,1160.0000000000002,3.0644579892269186,8.2,1.5,52.755,1.395,6.885,2.48,331.0,1.635,0.5,1.025,0.046,Bolivia (Non-Mining)
El Puente,December 2020,Lead,25.45,5.0,0.005,5090.0,3.7067177823367587,8.2,1.5,52.755,1.395,6.885,2.48,331.0,1.635,0.5,1.025,0.046,Bolivia (Non-Mining)
El Puente,December 2020,Zinc,111.05,25.0,0.025,4442.0,3.6475785542124552,8.2,1.5,52.755,1.395,6.885,2.48,331.0,1.635,0.5,1.025,0.046,Bolivia (Non-Mining)
El Puente,December 2022,Arsenic,5.0,5.0,0.005,1000.0,3.0,8.2,2.0,63.29,1.16,8.5,1.665,301.0,,,,,Bolivia (Non-Mining)
El Puente,December 2022,Cadmium,0.5,0.005,5e-06,99999.99999999999,5.0,8.2,2.0,63.29,1.16,8.5,1.665,301.0,,,,,Bolivia (Non-Mining)
El Puente,December 2022,Lead,10.0,0.5,0.0005,20000.0,4.301029995663981,8.2,2.0,63.29,1.16,8.5,1.665,301.0,,,,,Bolivia (Non-Mining)
El Puente,December 2022,Zinc,57.0,1.0,0.001,57000.0,4.7558748556724915,8.2,2.0,63.29,1.16,8.5,1.665,301.0,,,,,Bolivia (Non-Mining)
El Puente,December 2023,Arsenic,6.074999999999999,1438.0,1.438,4.22461752433936,0.6257873962234859,8.0,0.0,75.23,0.53,0.81,0.92645,220.0,,,,,Bolivia (Non-Mining)
El Puente,December 2023,Cadmium,0.2085,27.7,0.0277,7.527075812274369,0.8766262902453278,8.0,0.0,75.23,0.53,0.81,0.92645,220.0,,,,,Bolivia (Non-Mining)
El Puente,December 2023,Lead,21.25,4050.0,4.05,5.246913580246914,0.7199039111716619,8.0,0.0,75.23,0.53,0.81,0.92645,220.0,,,,,Bolivia (Non-Mining)
El Puente,December 2023,Zinc,51.0,18462.0,18.462,2.7624309392265194,0.4412914294668343,8.0,0.0,75.23,0.53,0.81,0.92645,220.0,,,,,Bolivia (Non-Mining)
El Puente,February 2024,Arsenic,17.0,264.0,0.264,64.39393939393939,1.8088449945084428,8.5,31.2,34.7,1.49,6.54,3.94095,424.5,,,,,Bolivia (Non-Mining)
El Puente,February 2024,Cadmium,5.0,291.0,0.291,17.18213058419244,1.2350770153501116,8.5,31.2,34.7,1.49,6.54,3.94095,424.5,,,,,Bolivia (Non-Mining)
El Puente,February 2024,Lead,25.0,1906.0,1.906,13.11647429171039,1.11781711236973,8.5,31.2,34.7,1.49,6.54,3.94095,424.5,,,,,Bolivia (Non-Mining)
El Puente,February 2024,Zinc,108.0,25.0,0.025,4320.0,3.635483746814912,8.5,31.2,34.7,1.49,6.54,3.94095,424.5,,,,,Bolivia (Non-Mining)
El Puente,January 2023,Arsenic,5.0,5.0,0.005,1000.0,3.0,7.5,1.0,55.42,1.72,5.84,3.065,404.0,,,,,Bolivia (Non-Mining)
El Puente,January 2023,Lead,10.0,6.0,0.006,1666.6666666666667,3.2218487496163566,7.5,1.0,55.42,1.72,5.84,3.065,404.0,,,,,Bolivia (Non-Mining)
El Puente,January 2023,Zinc,112.65,10.0,0.01,11265.0,4.051731196059849,7.5,1.0,55.42,1.72,5.84,3.065,404.0,,,,,Bolivia (Non-Mining)
El Puente,June 2024,Arsenic,14.5,5.0,0.005,2900.0,3.462397997898956,8.5,7.2,27.8,1.34,9.0,2.9411500000000004,598.0,,,,,Bolivia (Non-Mining)
El Puente,June 2024,Cadmium,5.0,25.0,0.025,200.0,2.3010299956639813,8.5,7.2,27.8,1.34,9.0,2.9411500000000004,598.0,,,,,Bolivia (Non-Mining)
El Puente,June 2024,Lead,26.5,6.0,0.006,4416.666666666667,3.645094623553164,8.5,7.2,27.8,1.34,9.0,2.9411500000000004,598.0,,,,,Bolivia (Non-Mining)
El Puente,June 2024,Zinc,126.5,2.0,0.002,63250.0,4.801060529847856,8.5,7.2,27.8,1.34,9.0,2.9411500000000004,598.0,,,,,Bolivia (Non-Mining)
El Puente,March 2017,Arsenic,11.2,46.0,0.046,243.47826086956522,2.3864601909886076,8.4,2.5,93.675,0.515,6.71,2.625,251.0,1.6600000000000001,0.5,0.8300000000000001,0.0505,Bolivia (Non-Mining)
El Puente,March 2017,Cadmium,0.20500000000000002,0.5,0.0005,410.0,2.6127838567197355,8.4,2.5,93.675,0.515,6.71,2.625,251.0,1.6600000000000001,0.5,0.8300000000000001,0.0505,Bolivia (Non-Mining)
El Puente,March 2017,Lead,21.8,105.0,0.105,207.61904761904762,2.317267194534667,8.4,2.5,93.675,0.515,6.71,2.625,251.0,1.6600000000000001,0.5,0.8300000000000001,0.0505,Bolivia (Non-Mining)
El Puente,March 2017,Zinc,91.75,318.0,0.318,288.52201257861634,2.4601789529396942,8.4,2.5,93.675,0.515,6.71,2.625,251.0,1.6600000000000001,0.5,0.8300000000000001,0.0505,Bolivia (Non-Mining)
El Puente,March 2019,Arsenic,11.7,20.0,0.02,585.0,2.7671558660821804,8.3,3.0,83.66,1.2,6.8,3.46,364.0,2.08,0.5,1.13,0.072,Bolivia (Non-Mining)
El Puente,March 2019,Cadmium,0.27,10.0,0.01,27.0,1.4313637641589874,8.3,3.0,83.66,1.2,6.8,3.46,364.0,2.08,0.5,1.13,0.072,Bolivia (Non-Mining)
El Puente,March 2019,Lead,24.0,43.0,0.043,558.139534883721,2.7467427861320197,8.3,3.0,83.66,1.2,6.8,3.46,364.0,2.08,0.5,1.13,0.072,Bolivia (Non-Mining)
El Puente,March 2019,Zinc,102.0,265.0,0.265,384.90566037735846,2.5853542978251096,8.3,3.0,83.66,1.2,6.8,3.46,364.0,2.08,0.5,1.13,0.072,Bolivia (Non-Mining)
El Puente,May 2018,Arsenic,16.299999999999997,10.0,0.01,1629.9999999999998,3.2121876044039577,8.25,1.0,92.43,0.275,8.72,2.6799999999999997,333.5,2.505,0.5,1.1600000000000001,0.055,Bolivia (Non-Mining)
El Puente,May 2018,Cadmium,0.385,10.0,0.01,38.5,1.5854607295085006,8.25,1.0,92.43,0.275,8.72,2.6799999999999997,333.5,2.505,0.5,1.1600000000000001,0.055,Bolivia (Non-Mining)
El Puente,May 2018,Lead,37.35,10.0,0.01,3735.0,3.5722906061514177,8.25,1.0,92.43,0.275,8.72,2.6799999999999997,333.5,2.505,0.5,1.1600000000000001,0.055,Bolivia (Non-Mining)
El Puente,May 2018,Zinc,129.0,114.0,0.114,1131.578947368421,3.0536848589627765,8.25,1.0,92.43,0.275,8.72,2.6799999999999997,333.5,2.505,0.5,1.1600000000000001,0.055,Bolivia (Non-Mining)
El Puente,May 2019,Arsenic,11.0,10.0,0.01,1100.0,3.041392685158225,8.0,3.0,83.66,0.95,7.35,3.55,362.0,2.3,0.5,1.01,0.07,Bolivia (Non-Mining)
El Puente,May 2019,Cadmium,0.23,10.0,0.01,23.0,1.3617278360175928,8.0,3.0,83.66,0.95,7.35,3.55,362.0,2.3,0.5,1.01,0.07,Bolivia (Non-Mining)
El Puente,May 2019,Lead,28.6,10.0,0.01,2860.0,3.456366033129043,8.0,3.0,83.66,0.95,7.35,3.55,362.0,2.3,0.5,1.01,0.07,Bolivia (Non-Mining)
El Puente,May 2019,Zinc,112.0,90.0,0.09,1244.4444444444446,3.0949755132308567,8.0,3.0,83.66,0.95,7.35,3.55,362.0,2.3,0.5,1.01,0.07,Bolivia (Non-Mining)
El Puente,May 2022,Arsenic,14.05,5.0,0.005,2810.0,3.44870631990508,8.5,3.0,87.1,0.88,8.76,2.745,342.0,1.6549999999999998,0.5,1.12,0.055,Bolivia (Non-Mining)
El Puente,May 2022,Cadmium,0.285,2.5,0.0025,113.99999999999999,2.0569048513364727,8.5,3.0,87.1,0.88,8.76,2.745,342.0,1.6549999999999998,0.5,1.12,0.055,Bolivia (Non-Mining)
El Puente,May 2022,Lead,24.9,5.0,0.005,4980.0,3.6972293427597176,8.5,3.0,87.1,0.88,8.76,2.745,342.0,1.6549999999999998,0.5,1.12,0.055,Bolivia (Non-Mining)
El Puente,May 2022,Zinc,96.65,229.0,0.229,422.0524017467249,2.625366376024684,8.5,3.0,87.1,0.88,8.76,2.745,342.0,1.6549999999999998,0.5,1.12,0.055,Bolivia (Non-Mining)
El Puente,November 2016,Arsenic,13.8,4.0,0.004,3450.0,3.537819095073274,8.1,1.0,93.63,1.43,7.59,2.12,234.5,1.795,0.5,0.9199999999999999,0.0435,Bolivia (Non-Mining)
El Puente,November 2016,Cadmium,0.19,0.5,0.0005,380.0,2.57978359661681,8.1,1.0,93.63,1.43,7.59,2.12,234.5,1.795,0.5,0.9199999999999999,0.0435,Bolivia (Non-Mining)
El Puente,November 2016,Lead,23.0,1.5,0.0015,15333.333333333332,4.185636576961912,8.1,1.0,93.63,1.43,7.59,2.12,234.5,1.795,0.5,0.9199999999999999,0.0435,Bolivia (Non-Mining)
El Puente,November 2016,Zinc,87.95,12.5,0.0125,7036.0,3.8473258307854237,8.1,1.0,93.63,1.43,7.59,2.12,234.5,1.795,0.5,0.9199999999999999,0.0435,Bolivia (Non-Mining)
El Puente,November 2021,Arsenic,13.05,3.0,0.003,4350.0,3.6384892569546374,8.1,0.75,90.51499999999999,0.405,8.46,2.91,318.5,1.65,0.5,1.515,0.0785,Bolivia (Non-Mining)
El Puente,November 2021,Cadmium,0.21500000000000002,0.25,0.00025,860.0000000000001,2.934498451243568,8.1,0.75,90.51499999999999,0.405,8.46,2.91,318.5,1.65,0.5,1.515,0.0785,Bolivia (Non-Mining)
El Puente,November 2021,Lead,25.85,0.5,0.0005,51700.0,4.713490543093942,8.1,0.75,90.51499999999999,0.405,8.46,2.91,318.5,1.65,0.5,1.515,0.0785,Bolivia (Non-Mining)
El Puente,November 2021,Zinc,95.05,25.0,0.025,3801.9999999999995,3.5800121125294244,8.1,0.75,90.51499999999999,0.405,8.46,2.91,318.5,1.65,0.5,1.515,0.0785,Bolivia (Non-Mining)
El Puente,October 2017,Arsenic,8.7,10.0,0.01,869.9999999999999,2.9395192526186187,7.6,0.0,99.93,0.35,11.21,1.98,176.0,1.83,0.5,0.88,0.06,Bolivia (Non-Mining)
El Puente,October 2017,Cadmium,0.13,1.0,0.001,130.0,2.113943352306837,7.6,0.0,99.93,0.35,11.21,1.98,176.0,1.83,0.5,0.88,0.06,Bolivia (Non-Mining)
El Puente,October 2017,Lead,19.6,1.0,0.001,19600.0,4.292256071356476,7.6,0.0,99.93,0.35,11.21,1.98,176.0,1.83,0.5,0.88,0.06,Bolivia (Non-Mining)
El Puente,October 2017,Zinc,77.1,10.0,0.01,7709.999999999999,3.8870543780509568,7.6,0.0,99.93,0.35,11.21,1.98,176.0,1.83,0.5,0.88,0.06,Bolivia (Non-Mining)
El Puente,September 2019,Arsenic,15.0,24.0,0.024,625.0,2.7958800173440754,8.4,2.0,97.0,0.72,8.38,2.63,301.0,1.43,0.5,0.83,0.073,Bolivia (Non-Mining)
El Puente,September 2019,Cadmium,0.29,10.0,0.01,28.999999999999996,1.462397997898956,8.4,2.0,97.0,0.72,8.38,2.63,301.0,1.43,0.5,0.83,0.073,Bolivia (Non-Mining)
El Puente,September 2019,Lead,27.4,50.0,0.05,547.9999999999999,2.738780558484369,8.4,2.0,97.0,0.72,8.38,2.63,301.0,1.43,0.5,0.83,0.073,Bolivia (Non-Mining)
El Puente,September 2019,Zinc,98.3,10.0,0.01,9830.0,3.9925535178321354,8.4,2.0,97.0,0.72,8.38,2.63,301.0,1.43,0.5,0.83,0.073,Bolivia (Non-Mining)
El Solitario,April 2023,Arsenic,10.899999999999999,12.0,0.012,908.3333333333331,2.9582452518929987,7.7,0.0,20.66,0.67,8.25,1.8599999999999999,255.5,,,,,Argentina/Paraguay
El Solitario,April 2023,Cadmium,0.2,0.25,0.00025,800.0,2.9030899869919438,7.7,0.0,20.66,0.67,8.25,1.8599999999999999,255.5,,,,,Argentina/Paraguay
El Solitario,April 2023,Lead,19.549999999999997,31.0,0.031,630.6451612903224,2.799785067897613,7.7,0.0,20.66,0.67,8.25,1.8599999999999999,255.5,,,,,Argentina/Paraguay
El Solitario,April 2023,Zinc,104.05,151.0,0.151,689.0728476821192,2.8382651372544765,7.7,0.0,20.66,0.67,8.25,1.8599999999999999,255.5,,,,,Argentina/Paraguay
El Solitario,February 2024,Arsenic,20.5,227.0,0.227,90.30837004405286,1.9557280038626317,7.8,59.5,3.1,4.38,5.36,4.34485,643.0,,,,,Argentina/Paraguay
El Solitario,February 2024,Cadmium,5.0,164.0,0.164,30.48780487804878,1.484126156288321,7.8,59.5,3.1,4.38,5.36,4.34485,643.0,,,,,Argentina/Paraguay
El Solitario,February 2024,Lead,33.5,954.0,0.954,35.115303983228515,1.5454964323327502,7.8,59.5,3.1,4.38,5.36,4.34485,643.0,,,,,Argentina/Paraguay
El Solitario,February 2024,Zinc,158.0,25.0,0.025,6320.0,3.800717078282385,7.8,59.5,3.1,4.38,5.36,4.34485,643.0,,,,,Argentina/Paraguay
El Solitario,October 2021,Arsenic,12.149999999999999,1.0,0.001,12149.999999999998,4.084576277934331,8.0,1.25,54.269999999999996,0.8200000000000001,8.95,2.9050000000000002,323.0,1.1099999999999999,0.5,0.49,0.0535,Argentina/Paraguay
El Solitario,October 2021,Cadmium,0.165,0.25,0.00025,660.0,2.8195439355418688,8.0,1.25,54.269999999999996,0.8200000000000001,8.95,2.9050000000000002,323.0,1.1099999999999999,0.5,0.49,0.0535,Argentina/Paraguay
El Solitario,October 2021,Lead,21.65,1.0,0.001,21649.999999999996,4.335457900689384,8.0,1.25,54.269999999999996,0.8200000000000001,8.95,2.9050000000000002,323.0,1.1099999999999999,0.5,0.49,0.0535,Argentina/Paraguay
El Solitario,October 2021,Zinc,74.55,25.0,0.025,2981.9999999999995,3.474507639116976,8.0,1.25,54.269999999999996,0.8200000000000001,8.95,2.9050000000000002,323.0,1.1099999999999999,0.5,0.49,0.0535,Argentina/Paraguay
El Solitario,September 2022,Arsenic,24.7,5.0,0.005,4940.0,3.693726948923647,7.6,2.5,26.1,1.4,9.02,2.698,335.0,,,,,Argentina/Paraguay
El Solitario,September 2022,Cadmium,0.5,2.5,0.0025,200.0,2.3010299956639813,7.6,2.5,26.1,1.4,9.02,2.698,335.0,,,,,Argentina/Paraguay
El Solitario,September 2022,Lead,20.1,5.0,0.005,4020.0,3.60422605308447,7.6,2.5,26.1,1.4,9.02,2.698,335.0,,,,,Argentina/Paraguay
El Solitario,September 2022,Zinc,79.8,180.0,0.18,443.3333333333333,2.646730386247423,7.6,2.5,26.1,1.4,9.02,2.698,335.0,,,,,Argentina/Paraguay
Hacienda 9 de junio,April 2023,Arsenic,10.0,21.0,0.021,476.19047619047615,2.6777807052660805,7.8,2.0,25.45,0.45,8.1,1.50745,203.8,,,,,Argentina/Paraguay
Hacienda 9 de junio,April 2023,Cadmium,0.125,0.25,0.00025,500.0,2.6989700043360187,7.8,2.0,25.45,0.45,8.1,1.50745,203.8,,,,,Argentina/Paraguay
Hacienda 9 de junio,April 2023,Lead,15.9,23.0,0.023,691.304347826087,2.8396692883028587,7.8,2.0,25.45,0.45,8.1,1.50745,203.8,,,,,Argentina/Paraguay
Hacienda 9 de junio,April 2023,Zinc,83.55,320.0,0.32,261.09375,2.416796475909504,7.8,2.0,25.45,0.45,8.1,1.50745,203.8,,,,,Argentina/Paraguay
Hacienda 9 de junio,February 2024,Arsenic,22.0,484.0,0.484,45.45454545454545,1.6575773191777938,7.7,45.0,2.5,4.54,4.8,3.76165,577.0,,,,,Argentina/Paraguay
Hacienda 9 de junio,February 2024,Cadmium,5.0,426.0,0.426,11.737089201877934,1.0695604052332999,7.7,45.0,2.5,4.54,4.8,3.76165,577.0,,,,,Argentina/Paraguay
Hacienda 9 de junio,February 2024,Lead,34.0,1185.0,1.185,28.691983122362867,1.4577605666961324,7.7,45.0,2.5,4.54,4.8,3.76165,577.0,,,,,Argentina/Paraguay
Hacienda 9 de junio,February 2024,Zinc,160.5,25.0,0.025,6420.0,3.807535028068853,7.7,45.0,2.5,4.54,4.8,3.76165,577.0,,,,,Argentina/Paraguay
Hacienda 9 de junio,October 2021,Arsenic,5.800000000000001,2.0,0.002,2900.0000000000005,3.462397997898956,8.1,0.0,98.53,0.37,8.85,1.23,118.5,0.6799999999999999,0.5,0.20500000000000002,0.032,Argentina/Paraguay
Hacienda 9 de junio,October 2021,Cadmium,0.065,0.25,0.00025,260.0,2.4149733479708178,8.1,0.0,98.53,0.37,8.85,1.23,118.5,0.6799999999999999,0.5,0.20500000000000002,0.032,Argentina/Paraguay
Hacienda 9 de junio,October 2021,Lead,9.05,1.0,0.001,9050.0,3.9566485792052033,8.1,0.0,98.53,0.37,8.85,1.23,118.5,0.6799999999999999,0.5,0.20500000000000002,0.032,Argentina/Paraguay
Hacienda 9 de junio,October 2021,Zinc,32.15,25.0,0.025,1285.9999999999998,3.109240968588203,8.1,0.0,98.53,0.37,8.85,1.23,118.5,0.6799999999999999,0.5,0.20500000000000002,0.032,Argentina/Paraguay
La Angostura,December 2023,Arsenic,5.665,20.0,0.02,283.25,2.452169918535435,7.7,1.0,54.47,1.5,6.2,1.2090999999999998,318.0,,,,,Potosí (Mining Zone)
La Angostura,December 2023,Cadmium,0.4765,2.3,0.0023,207.17391304347825,2.3163350689567523,7.7,1.0,54.47,1.5,6.2,1.2090999999999998,318.0,,,,,Potosí (Mining Zone)
