Station,Campaign,Date,Metal,Sediment_Conc_mg_per_kg,Water_Conc_ug_per_L,Water_Conc_mg_per_L,Partitioning_Ratio_L_per_kg,Log_Partitioning_Ratio,pH,Clay_%,Organic_Matter_%,DO_mg_per_L,Fe_%,Mn_mg_per_kg,Al_%,S_%,Ca_%,P_%,Location
Villamontes,November 2016,2016-11-30,Arsenic,8.5,261.0,0.261,32.56704980842912,1.5127784183760118,8.4,1.5,0.63,9.56,2.23,252.0,1.08,0.5,0.4,0.05,Bolivia (Non-Mining)
Villamontes,November 2016,2016-11-30,Cadmium,0.09,6.0,0.006,15.0,1.1760912590556813,8.4,1.5,0.63,9.56,2.23,252.0,1.08,0.5,0.4,0.05,Bolivia (Non-Mining)
Villamontes,November 2016,2016-11-30,Lead,15.9,1026.0,1.026,15.497076023391813,1.190249763544654,8.4,1.5,0.63,9.56,2.23,252.0,1.08,0.5,0.4,0.05,Bolivia (Non-Mining)
Villamontes,November 2016,2016-11-30,Zinc,52.7,2412.0,2.412,21.849087893864017,1.339433311744433,8.4,1.5,0.63,9.56,2.23,252.0,1.08,0.5,0.4,0.05,Bolivia (Non-Mining)
Villamontes,November 2016,2016-11-30,Arsenic,6.7,261.0,0.261,25.670498084291186,1.4094342953625454,8.4,1.5,0.63,9.56,1.28,158.0,0.74,0.5,0.31,0.03,Bolivia (Non-Mining)
Villamontes,November 2016,2016-11-30,Cadmium,0.03,6.0,0.006,5.0,0.6989700043360189,8.4,1.5,0.63,9.56,1.28,158.0,0.74,0.5,0.31,0.03,Bolivia (Non-Mining)
Villamontes,November 2016,2016-11-30,Lead,9.2,1026.0,1.026,8.966861598440545,0.9526404665697578,8.4,1.5,0.63,9.56,1.28,158.0,0.74,0.5,0.31,0.03,Bolivia (Non-Mining)
Villamontes,November 2016,2016-11-30,Zinc,32.7,2412.0,2.412,13.55721393034826,1.1321704491921725,8.4,1.5,0.63,9.56,1.28,158.0,0.74,0.5,0.31,0.03,Bolivia (Non-Mining)
Villamontes,November 2016,2016-11-30,Arsenic,7.1,261.0,0.261,27.203065134099614,1.4346178413807942,8.3,1.5,0.85,9.56,1.87,234.0,1.12,0.5,0.38,0.037,Bolivia (Non-Mining)
Villamontes,November 2016,2016-11-30,Cadmium,0.07,6.0,0.006,11.666666666666668,1.0669467896306133,8.3,1.5,0.85,9.56,1.87,234.0,1.12,0.5,0.38,0.037,Bolivia (Non-Mining)
Villamontes,November 2016,2016-11-30,Lead,13.2,1026.0,1.026,12.865497076023392,1.1094265704300523,8.3,1.5,0.85,9.56,1.87,234.0,1.12,0.5,0.38,0.037,Bolivia (Non-Mining)
Villamontes,November 2016,2016-11-30,Zinc,48.4,2412.0,2.412,20.066334991708125,1.3024680581762988,8.3,1.5,0.85,9.56,1.87,234.0,1.12,0.5,0.38,0.037,Bolivia (Non-Mining)
Villamontes,November 2016,2016-11-30,Arsenic,5.5,261.0,0.261,21.0727969348659,1.3237221821559628,8.3,1.5,0.85,9.56,1.26,156.0,0.73,0.5,0.31,0.027,Bolivia (Non-Mining)
Villamontes,November 2016,2016-11-30,Cadmium,0.06,6.0,0.006,10.0,1.0,8.3,1.5,0.85,9.56,1.26,156.0,0.73,0.5,0.31,0.027,Bolivia (Non-Mining)
Villamontes,November 2016,2016-11-30,Lead,9.23,1026.0,1.026,8.996101364522417,0.9540543402501146,8.3,1.5,0.85,9.56,1.26,156.0,0.73,0.5,0.31,0.027,Bolivia (Non-Mining)
Villamontes,November 2016,2016-11-30,Zinc,33.5,2412.0,2.412,13.88888888888889,1.1426675035687315,8.3,1.5,0.85,9.56,1.26,156.0,0.73,0.5,0.31,0.027,Bolivia (Non-Mining)
