Station,Campaign,Date,Metal,Sediment_Conc_mg_per_kg,Water_Conc_ug_per_L,Water_Conc_mg_per_L,Partitioning_Ratio_L_per_kg,Log_Partitioning_Ratio,pH,Clay_%,Organic_Matter_%,DO_mg_per_L,Fe_%,Mn_mg_per_kg,Al_%,S_%,Ca_%,P_%,Location
Puente Mendez,August 2016,2016-08-01,Zinc,54.0,355.0,0.355,152.11267605633805,2.1821654067678744,8.1,,,8.77,1.59,293.0,0.93,0.5,0.31,0.041,Bolivia (Non-Mining)
Puente Mendez,August 2016,2016-08-01,Arsenic,4.7,26.0,0.026,180.76923076923077,2.2571245099648993,8.1,,,8.77,1.03,212.0,0.66,0.5,0.28,0.037,Bolivia (Non-Mining)
Puente Mendez,August 2016,2016-08-01,Cadmium,0.09,1.3,0.0013,69.23076923076923,1.840299157132488,8.1,,,8.77,1.03,212.0,0.66,0.5,0.28,0.037,Bolivia (Non-Mining)
Puente Mendez,August 2016,2016-08-01,Lead,14.4,31.0,0.031,464.5161290322581,2.667000798260977,8.1,,,8.77,1.03,212.0,0.66,0.5,0.28,0.037,Bolivia (Non-Mining)
Puente Mendez,August 2016,2016-08-01,Zinc,37.3,355.0,0.355,105.07042253521126,2.0214804787535936,8.1,,,8.77,1.03,212.0,0.66,0.5,0.28,0.037,Bolivia (Non-Mining)
Puente Mendez,August 2016,2016-08-01,Arsenic,6.7,26.0,0.026,257.69230769230774,2.4111014547300087,8.1,,,8.77,0.85,164.0,0.51,0.5,0.21,0.044,Bolivia (Non-Mining)
Puente Mendez,August 2016,2016-08-01,Cadmium,0.12,1.3,0.0013,92.3076923076923,1.965237893740788,8.1,,,8.77,0.85,164.0,0.51,0.5,0.21,0.044,Bolivia (Non-Mining)
Puente Mendez,August 2016,2016-08-01,Lead,19.0,31.0,0.031,612.9032258064516,2.7873919071185562,8.1,,,8.77,0.85,164.0,0.51,0.5,0.21,0.044,Bolivia (Non-Mining)
Puente Mendez,August 2016,2016-08-01,Zinc,39.5,355.0,0.355,111.26760563380282,2.046368742571366,8.1,,,8.77,0.85,164.0,0.51,0.5,0.21,0.044,Bolivia (Non-Mining)
Puente Mendez,August 2016,2016-08-01,Arsenic,10.1,26.0,0.026,388.46153846153845,2.5893480258118244,8.1,,,8.77,1.76,321.0,1.21,0.5,0.27,0.09,Bolivia (Non-Mining)
